 
 
 
 
#  id     pos         dens           U           pres       weightedn    weightedP    weightedU       A    hsmooth
 106   1.0600E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 107   1.0700E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 108   1.0800E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 109   1.0900E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 110   1.1000E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 111   1.1100E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 112   1.1200E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 113   1.1300E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 114   1.1400E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 115   1.1500E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 116   1.1600E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 117   1.1700E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 118   1.1800E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 119   1.1900E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 120   1.2000E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 121   1.2100E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 122   1.2200E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 123   1.2300E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 124   1.2400E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 125   1.2500E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 126   1.2600E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 127   1.2700E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 128   1.2800E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 129   1.2900E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 130   1.3000E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 131   1.3100E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 132   1.3200E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 133   1.3300E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 134   1.3400E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 135   1.3500E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 136   1.3600E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 137   1.3700E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 138   1.3800E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 139   1.3900E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 140   1.4000E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 141   1.4100E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 142   1.4200E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 143   1.4300E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 144   1.4400E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 145   1.4500E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 146   1.4600E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 147   1.4700E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 148   1.4800E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 149   1.4900E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
 150   1.5000E+01   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
